,essay,empathy,distress,emotion,personality_conscientiousness,personality_openess,personality_extraversion,personality_agreeableness,personality_stability,iri_perspective_taking,iri_personal_distress,iri_fantasy,iri_empathatic_concern,demographic,demographic_essay
10,"That's so sad about the situation with the coal and all the wildlife it's misplacing. It was kind of crazy reading the story about having the elephant crash into those people's houses -- i can't imagine having a giant two ton creature come through my wall! I'm glad no one was hurt, but it still sounds pretty scary.",3.5,1.875,Fear/Sadness,6.0,5.0,2.0,5.0,6.0,4.143,1.714,3.857,3.429,I am female. My age is 25.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 60000.0. I am writing with respect to article number 336.,"I am female. My age is 25.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 60000.0. I am writing with respect to article number 336. That's so sad about the situation with the coal and all the wildlife it's misplacing. It was kind of crazy reading the story about having the elephant crash into those people's houses -- i can't imagine having a giant two ton creature come through my wall! I'm glad no one was hurt, but it still sounds pretty scary."
11,It's very tragic what happened to this woman.  It just seems like it was so avoidable.  There were so many warning signs that were ignored where people could have intervened and gotten her the help she needed.  I just think things like this happen too often where people get swept under the rug and professionals and others overlook what should really be treated as major warning signs.  I think lives could be saved if people would be a little more attentive to things like this.  ,1.8333333333333333,1.0,Sadness,7.0,3.5,6.5,5.5,6.5,3.429,2.714,2.571,3.857,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 281.,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 281. It's very tragic what happened to this woman.  It just seems like it was so avoidable.  There were so many warning signs that were ignored where people could have intervened and gotten her the help she needed.  I just think things like this happen too often where people get swept under the rug and professionals and others overlook what should really be treated as major warning signs.  I think lives could be saved if people would be a little more attentive to things like this.  
12,"That article is so sad. I feel so bad for her, that she wasn't able to get the help that she needed. I also feel bad for her family. I can't imagine how bad they feel and how helpless they felt seeing their family member going through something and not being able to help them. I hope that mental health services improve so that things like that don't continue to happen. ",4.0,2.625,Sadness,6.0,3.5,2.5,6.0,6.0,5.0,2.143,3.857,5.0,I am female. My age is 38.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 24000.0. I am writing with respect to article number 281.,"I am female. My age is 38.0 years. My education level is Four year bachelor’s degree. My race is Hispanic or Latino. My income is 24000.0. I am writing with respect to article number 281. That article is so sad. I feel so bad for her, that she wasn't able to get the help that she needed. I also feel bad for her family. I can't imagine how bad they feel and how helpless they felt seeing their family member going through something and not being able to help them. I hope that mental health services improve so that things like that don't continue to happen. "
13,I just read a really interesting but depressing article. It was about a woman who lived in the UK. She was the founding editor of Elle magazine. She was only thirty when the magazine started which is crazy to me. Imagine being thirty and running a whole magazine. She suffered from depression all of her life and even wrote a book about it. She was admitted into a mental hospital because she was struggling with her depression. The mental hospoital cleared her and let her go. Soon after she walked into the ocean and drowned. It is so sad that she did not get the help she needed. I hope all of our friends know that we are here for them and support them no matter whatthey are going through. ,6.0,2.125,Hope/Sadness,6.5,5.5,5.0,6.5,6.5,3.714,2.286,3.286,4.571,I am male. My age is 33.0 years. My education level is echnical/Vocational School. My race is White. My income is 58000.0. I am writing with respect to article number 281.,I am male. My age is 33.0 years. My education level is echnical/Vocational School. My race is White. My income is 58000.0. I am writing with respect to article number 281. I just read a really interesting but depressing article. It was about a woman who lived in the UK. She was the founding editor of Elle magazine. She was only thirty when the magazine started which is crazy to me. Imagine being thirty and running a whole magazine. She suffered from depression all of her life and even wrote a book about it. She was admitted into a mental hospital because she was struggling with her depression. The mental hospoital cleared her and let her go. Soon after she walked into the ocean and drowned. It is so sad that she did not get the help she needed. I hope all of our friends know that we are here for them and support them no matter whatthey are going through. 
14,"After reading the article, i really felt bad for the lady. I felt like she was just trying to get some help for her mental state and people didn't really believe her. I felt like people were just brushing off the fact that she needed help and it was pretty disturbing. I think that society as a whole needs to understand mental health better and how to help people.",1.0,1.75,Sadness,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 281.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 281. After reading the article, i really felt bad for the lady. I felt like she was just trying to get some help for her mental state and people didn't really believe her. I felt like people were just brushing off the fact that she needed help and it was pretty disturbing. I think that society as a whole needs to understand mental health better and how to help people."
15,"It's sad that people anywhere are still threatened because of their beliefs. I don't understand why any religion is so set against other that they want to hurt, kill and threaten them. How does someone else's belief harm your own? I guess I just don't get why people get so fanatic about religion and ignore parts of the teachings about tolerance, peace and understanding. It seems wrong that people use religion as an excuse for violence.",3.6666666666666665,1.75,Sadness,6.5,5.5,2.5,5.0,5.0,3.286,2.286,4.857,4.714,I am female. My age is 46.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 22000.0. I am writing with respect to article number 171.,"I am female. My age is 46.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 22000.0. I am writing with respect to article number 171. It's sad that people anywhere are still threatened because of their beliefs. I don't understand why any religion is so set against other that they want to hurt, kill and threaten them. How does someone else's belief harm your own? I guess I just don't get why people get so fanatic about religion and ignore parts of the teachings about tolerance, peace and understanding. It seems wrong that people use religion as an excuse for violence."
16,This was a sad situation.  It is unfair for all these people to live in such conflict and persecution fo their beliefs.  It makes me very grateful to live somewhere that I have the freedom to believe what I want.  People complain so much about America and don't realize how good we have it here.  These people are literally dying just for what they believe which is really sad.  I feel sad for the families. ,1.1666666666666667,1.0,Sadness,7.0,3.5,6.5,5.5,6.5,3.429,2.714,2.571,3.857,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 171.,I am female. My age is 38.0 years. My education level is Postgradute or professional degree. My race is White. My income is 42000.0. I am writing with respect to article number 171. This was a sad situation.  It is unfair for all these people to live in such conflict and persecution fo their beliefs.  It makes me very grateful to live somewhere that I have the freedom to believe what I want.  People complain so much about America and don't realize how good we have it here.  These people are literally dying just for what they believe which is really sad.  I feel sad for the families. 
17,"I was saddened by the content in the article. I do think PTSD is real and is a serious issue. I can't even imagine what those soldiers have to go through, and I hope that my loved ones never find out. I think it's understandable that adjusting back would be difficult. I really think we need to do better taking care of our troops... even in the beginning. Do we really need them? Are we putting their interests at heart, or just our political ones?",6.333333333333333,5.75,Sadness,6.5,7.0,2.0,3.5,4.0,4.286,2.857,5.0,4.571,I am female. My age is 31.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 34999.0. I am writing with respect to article number 386.,"I am female. My age is 31.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 34999.0. I am writing with respect to article number 386. I was saddened by the content in the article. I do think PTSD is real and is a serious issue. I can't even imagine what those soldiers have to go through, and I hope that my loved ones never find out. I think it's understandable that adjusting back would be difficult. I really think we need to do better taking care of our troops... even in the beginning. Do we really need them? Are we putting their interests at heart, or just our political ones?"
18,The fact that we don't take care of our veterans is worse than sad. We have a duty to honor them and take care of them. I'm happy to see so many people speaking out and making issues with PTSD more easy to talk about. We can't keep ignoring these issues and pretending that we just can't do anything for our vets. We need to make sure we take more time to work with each vet and get them the help they not only need but deserve!,6.0,5.25,Anger,6.5,5.5,2.5,5.0,5.0,3.286,2.286,4.857,4.714,I am female. My age is 46.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 22000.0. I am writing with respect to article number 386.,I am female. My age is 46.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 22000.0. I am writing with respect to article number 386. The fact that we don't take care of our veterans is worse than sad. We have a duty to honor them and take care of them. I'm happy to see so many people speaking out and making issues with PTSD more easy to talk about. We can't keep ignoring these issues and pretending that we just can't do anything for our vets. We need to make sure we take more time to work with each vet and get them the help they not only need but deserve!
19,PTSD is a tough problem to have I feel bad for those veterans that have to deal with it they must relive those awful memories over and over again in their mind it can not be easy to live with all the things that they had to go through in the theater of war they need to spend more on mental health for them.,4.166666666666667,4.0,Sadness,4.25,4.25,4.5,4.25,3.75,2.714,2.857,3.286,2.9285,I am male. My age is 33.0 years. My education level is Some college but no degree. My race is Asian/Pacific Islander. My income is 36000.0. I am writing with respect to article number 386.,I am male. My age is 33.0 years. My education level is Some college but no degree. My race is Asian/Pacific Islander. My income is 36000.0. I am writing with respect to article number 386. PTSD is a tough problem to have I feel bad for those veterans that have to deal with it they must relive those awful memories over and over again in their mind it can not be easy to live with all the things that they had to go through in the theater of war they need to spend more on mental health for them.
20,"The sights and sounds of war are horrible and I would never blame a person for having PTSD. I'm happy that the one solider although he has PTSD, he is working though it and wants to show people that now all people with PTSD are dangerous and there is away to heal yourself after being in a such bad of a place.",6.833333333333333,2.75,Joy,7.0,5.5,1.0,6.5,6.0,4.857,2.0,3.429,5.0,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 386.,"I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 386. The sights and sounds of war are horrible and I would never blame a person for having PTSD. I'm happy that the one solider although he has PTSD, he is working though it and wants to show people that now all people with PTSD are dangerous and there is away to heal yourself after being in a such bad of a place."
21,"I had never considered the zoos in countries like Venezuela. I'm concerned that it seems like they're being fined and punished for their predicament. I think other zoos throughout the world should step up and try to rescue the animals, or at the very least, preserve them for a scientific purpose and euthanize them humanely. Those that are endangered should be removed. It's just a terrible situation for everyone, but the zoo owners and animals aren't at fault, it's the political constraints.",5.833333333333333,6.125,Neutral,6.5,7.0,2.0,3.5,4.0,4.286,2.857,5.0,4.571,I am female. My age is 31.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 34999.0. I am writing with respect to article number 58.,"I am female. My age is 31.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 34999.0. I am writing with respect to article number 58. I had never considered the zoos in countries like Venezuela. I'm concerned that it seems like they're being fined and punished for their predicament. I think other zoos throughout the world should step up and try to rescue the animals, or at the very least, preserve them for a scientific purpose and euthanize them humanely. Those that are endangered should be removed. It's just a terrible situation for everyone, but the zoo owners and animals aren't at fault, it's the political constraints."
22,"I find the article comical.  In these places, people are starving to death and the concern of some people is whether zoo animals are getting enough to eat.  The zoo animals should be slaughtered to feed people.  The horses slaughtered to feed to animals should be fed to people.  The animals probably shouldn't be in zoos to begin with, but now that they are they shouldn't come before human needs.  That's idiotic.  Just butcher the zoo animals, feed them to people, and be done with the problem.  That's my opinion.",1.1666666666666667,3.875,Neutral,2.5,2.0,1.5,2.0,1.0,3.286,4.429,2.714,2.571,I am male. My age is 41.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 28000.0. I am writing with respect to article number 58.,"I am male. My age is 41.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 28000.0. I am writing with respect to article number 58. I find the article comical.  In these places, people are starving to death and the concern of some people is whether zoo animals are getting enough to eat.  The zoo animals should be slaughtered to feed people.  The horses slaughtered to feed to animals should be fed to people.  The animals probably shouldn't be in zoos to begin with, but now that they are they shouldn't come before human needs.  That's idiotic.  Just butcher the zoo animals, feed them to people, and be done with the problem.  That's my opinion."
23,I just read an article about how animals in Venezuela are starving to death because of the turmoil that is happening in that country. I feel like there should be some kind of action plan in place for animals in countries that are experiencing hardship so that they can be transported to other places in times of crisis. The thought of innocent creatures starving to death in cages really turns my stomach.,5.666666666666667,4.625,Sadness,6.0,6.5,1.0,6.0,5.5,5.0,2.286,3.286,4.143,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 58.,I am male. My age is 29.0 years. My education level is Some college but no degree. My race is White. My income is 39000.0. I am writing with respect to article number 58. I just read an article about how animals in Venezuela are starving to death because of the turmoil that is happening in that country. I feel like there should be some kind of action plan in place for animals in countries that are experiencing hardship so that they can be transported to other places in times of crisis. The thought of innocent creatures starving to death in cages really turns my stomach.
24,"Honestly the entire story is just so sad and really highlights how devastating the effects of greed are. It's not enough that our policies and hunger for power wreck human lives, we have to wreck entire environments and species, too. I feel so bad for the animals, and it just goes to show how much worse things must be for the actual humans.",4.833333333333333,4.625,Sadness,6.0,5.0,2.0,5.0,6.0,4.143,1.714,3.857,3.429,I am female. My age is 25.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 60000.0. I am writing with respect to article number 58.,"I am female. My age is 25.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 60000.0. I am writing with respect to article number 58. Honestly the entire story is just so sad and really highlights how devastating the effects of greed are. It's not enough that our policies and hunger for power wreck human lives, we have to wreck entire environments and species, too. I feel so bad for the animals, and it just goes to show how much worse things must be for the actual humans."
25,In Valenzuela the animals in the zoo are starving.. The staff cannot afford to feed them many days. This is so sad and disturbing. These poor animals have no freedom and cannot go anywhere to find food. That is torture and wrong. Someone needs to step into this sad situation before it gets any worse. ,4.333333333333333,6.125,Sadness,6.0,6.0,5.0,4.5,3.5,5.0,4.143,4.857,5.0,I am female. My age is 28.0 years. My education level is Two year associate degree. My race is White. My income is 50000.0. I am writing with respect to article number 58.,I am female. My age is 28.0 years. My education level is Two year associate degree. My race is White. My income is 50000.0. I am writing with respect to article number 58. In Valenzuela the animals in the zoo are starving.. The staff cannot afford to feed them many days. This is so sad and disturbing. These poor animals have no freedom and cannot go anywhere to find food. That is torture and wrong. Someone needs to step into this sad situation before it gets any worse. 
26,"This is such a sad story. Cancer is so hard on everyone and even the same cancer experience makes it different from everyone else. And yet, there is so much the same about people that have to suffer through this disease. It takes such a toll  on them and everyone around them as you feel so helpless while battling this terrible illness. I am so proud of people that maintain such a positive outlook and fight so hard.",4.166666666666667,1.125,Sadness,6.5,5.5,2.5,5.0,5.0,3.286,2.286,4.857,4.714,I am female. My age is 46.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 22000.0. I am writing with respect to article number 289.,"I am female. My age is 46.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 22000.0. I am writing with respect to article number 289. This is such a sad story. Cancer is so hard on everyone and even the same cancer experience makes it different from everyone else. And yet, there is so much the same about people that have to suffer through this disease. It takes such a toll  on them and everyone around them as you feel so helpless while battling this terrible illness. I am so proud of people that maintain such a positive outlook and fight so hard."
27,"I feel very bad for this person. I know I have seen people go through cancer and it is always sad as it just seems to tear them apart so quickly. This person is clearly strong and has an abundance of support so I wish them the best in their fight. Besides that, I wish they can find a cure for this soon. ",4.5,4.375,Sadness,6.0,6.0,3.0,2.5,5.5,2.429,1.714,2.857,1.429,I am male. My age is 20.0 years. My education level is High School diploma. My race is Hispanic or Latino. My income is 36000.0. I am writing with respect to article number 289.,"I am male. My age is 20.0 years. My education level is High School diploma. My race is Hispanic or Latino. My income is 36000.0. I am writing with respect to article number 289. I feel very bad for this person. I know I have seen people go through cancer and it is always sad as it just seems to tear them apart so quickly. This person is clearly strong and has an abundance of support so I wish them the best in their fight. Besides that, I wish they can find a cure for this soon. "
28,It is nice for her to share her journey with cancer. I like how both of them connected with each other. I know that cancer is a sad thing and I'm happy they she found a way to change how she thinks about herself and thinks about life. It was interesting to see how she thought about her husband during that time.,6.833333333333333,1.125,Joy,7.0,5.5,1.0,6.5,6.0,4.857,2.0,3.429,5.0,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 289.,I am male. My age is 37.0 years. My education level is Four year bachelor’s degree. My race is Black or African American. My income is 40000.0. I am writing with respect to article number 289. It is nice for her to share her journey with cancer. I like how both of them connected with each other. I know that cancer is a sad thing and I'm happy they she found a way to change how she thinks about herself and thinks about life. It was interesting to see how she thought about her husband during that time.
29,"I'm curious why the singer was labeled controversial. I guess only the statement that was made about security. I remember the event in this article happening because I like the band, and was familiar with them, and it could have been me at the show. All of those people were innocent and had no idea what was going on, didn't ask for it, etc. Hearing the stories was really traumatizing. I can't even imagine. I'm glad that everyone is able to overcome.",5.666666666666667,5.0,Neutral,6.5,7.0,2.0,3.5,4.0,4.286,2.857,5.0,4.571,I am female. My age is 31.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 34999.0. I am writing with respect to article number 210.,"I am female. My age is 31.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 34999.0. I am writing with respect to article number 210. I'm curious why the singer was labeled controversial. I guess only the statement that was made about security. I remember the event in this article happening because I like the band, and was familiar with them, and it could have been me at the show. All of those people were innocent and had no idea what was going on, didn't ask for it, etc. Hearing the stories was really traumatizing. I can't even imagine. I'm glad that everyone is able to overcome."
30,"That is so sad what happened to the people at the concert. I can't imagine why someone would want to do something like that. What would they get from it? I feel so badly for the families involved. It was over 100 people. It is just so sad. It's nice what they are doing with the concerts now, but nothing will bring those people's family members back.",6.666666666666667,1.25,Sadness,7.0,6.5,4.5,5.5,7.0,5.0,2.143,3.571,5.0,I am female. My age is 47.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 110000.0. I am writing with respect to article number 210.,"I am female. My age is 47.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 110000.0. I am writing with respect to article number 210. That is so sad what happened to the people at the concert. I can't imagine why someone would want to do something like that. What would they get from it? I feel so badly for the families involved. It was over 100 people. It is just so sad. It's nice what they are doing with the concerts now, but nothing will bring those people's family members back."
31,Reading about the attack on Paris that happened years ago brought up a lot of bad feelings and thoughts. I had completely forgotton about it because of how often things like that happen. It makes me upset to think that we are becoming numb to terror attacks in a way. i can only hope that the people affected have found peace and eventually we all will find peace,1.0,2.125,Hope/Sadness,4.0,5.5,6.5,3.5,5.0,2.286,2.0,3.0,4.429,I am male. My age is 23.0 years. My education level is Some college but no degree. My race is Hispanic or Latino. My income is 70000.0. I am writing with respect to article number 210.,I am male. My age is 23.0 years. My education level is Some college but no degree. My race is Hispanic or Latino. My income is 70000.0. I am writing with respect to article number 210. Reading about the attack on Paris that happened years ago brought up a lot of bad feelings and thoughts. I had completely forgotton about it because of how often things like that happen. It makes me upset to think that we are becoming numb to terror attacks in a way. i can only hope that the people affected have found peace and eventually we all will find peace
32,that was many people that were killed in that paris attack these muslims are out of control killing people left and right Trump is right to stop immigration from those countries to america we need to protect ourselves from these savages killing people who are out celebrating and havina good time something needs to be done,4.333333333333333,4.0,Anger,4.25,4.25,4.5,4.25,3.75,2.714,2.857,3.286,2.9285,I am male. My age is 33.0 years. My education level is Some college but no degree. My race is Asian/Pacific Islander. My income is 36000.0. I am writing with respect to article number 210.,I am male. My age is 33.0 years. My education level is Some college but no degree. My race is Asian/Pacific Islander. My income is 36000.0. I am writing with respect to article number 210. that was many people that were killed in that paris attack these muslims are out of control killing people left and right Trump is right to stop immigration from those countries to america we need to protect ourselves from these savages killing people who are out celebrating and havina good time something needs to be done
33,"After reading the article, it's great that the band members still made time to visit the people that were killed during the attack. I also feel that these attacks have been happening way too often now and is now a normal thing. We should be doing more to prevent these attacks from happening and acknowledging the people who died instead of the killers.",1.6666666666666667,1.0,Hope,6.75,6.75,6.75,6.75,7.0,4.643,2.0715,4.143,4.643,I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 210.,"I am male. My age is 29.0 years. My education level is Four year bachelor’s degree. My race is White. My income is 85000.0. I am writing with respect to article number 210. After reading the article, it's great that the band members still made time to visit the people that were killed during the attack. I also feel that these attacks have been happening way too often now and is now a normal thing. We should be doing more to prevent these attacks from happening and acknowledging the people who died instead of the killers."
