article_id,text
15,"Two men were hospitalized in critical condition Tuesday afternoon after being shot in the Swampoodle section of North Philadelphia, police said. The shooting occurred on the 2100 block of Indiana Avenue at about 3:20 p.m. A 58-year-old man was shot twice in the stomach and was taken by private vehicle to Temple University Hospital. Another man, whose age was not known, was shot once in the back and was also taken to Temple."
16,"Over the years there has been a greater level of interest in women's sport and that's partly down to the athletes themselves, who, as we will soon profile, have overcome various obstacles and challenges to get to where they are today. Think Maria Sharapova, who in recent years has become one of the highest-paid athletes in the world having emigrated to America with her dad aged 7. Or the Italian diver Tania Cagnotto, whose signature good looks have given her fame beyond her wildest dreams."
17,"In this federal prison, inmates have a choice: live with a violent cellmate or end up in shackles. On Feb. 3, 2011, corrections officers at Lewisburg federal penitentiary in rural Pennsylvania arrived outside Sebastian Richardson’s cell door. With them was a man looking agitated and rocking back and forth."
18,"At least three U.S. military trainers in Jordan were fatally shot by security forces Friday when their vehicle failed to stop at the gate of a military base, Jordanian officials said. Earlier, Jordan’s military said there was “an exchange of gunfire” after the vehicle’s driver ignored demands to stop outside an air base in southern Jordan."
19,"More people have drowned in the Mediterranean this year than ever before: at least 3,800. That's about 90 a week. It's nearly 13 every day. Here's a look at how we got there."
20,"Yesterday, 375 of the world’s top scientists, including 30 Nobel Prize winners, published an open letter regarding climate change. In the letter, the scientists report that the evidence is clear: humans are causing climate change ."
21,"A suicide bomb attack killed at least 52 people and injured more than 100 others during a religious ceremony in the remote mountains of Pakistan, according to local law enforcement."
22,"A baby was found in a shoe box on a Brentwood, Long Island porch this week. Around 9 p.m. Thursday, a 14-year-old resident who lives in the 400 block of Washington Ave., heard a baby crying on the rear porch, according to Suffolk County Police."
23,"A fuel tanker exploded in northern Mozambique as residents gathered around to buy fuel from the driver on Thursday. Dozens of charred bodies were scattered around the blast site in the town of Caphiridzange in Tete province, and government officials believed more bodies might be in surrounding woods."
24,"Tundra, a 29-year-old female polar bear who was living at the Detroit Zoo had passed away Monday morning after battling an illness suddenly caught the day before. The zoo wrote in a Facebook post that officials decided to euthanize her after they noticed a rapid decline in her health while officials tended to her Sunday night and Monday morning. The exact illness she was suffering from has not been determined."
25,"A black church in Greenville, Mississippi, was set on fire on Tuesday night. Fire fighters arrived to find Hopewell Missionary Baptist Church “heavily engulfed in flames,” Mayor Errick Simmons said in an interview; the fire took nearly an hour to contain. No one was in the church at the time, and no one was injured. On the side of the church, beneath the blackened windows and roof, the words “Vote Trump” have been spray painted. The fire is being investigated as a hate crime."
26,Representative Darrell Issa has blown by one challenger after another since being elected in 2000. The days of his double-digit victories may be over.
27,"The Chicago Torture Archive will open this month at the University of Chicago. The massive collection comes from efforts by the People's Law Office, a civil-rights organization, to gather interrogations, criminal-trial files, civil-litigation documents, works of journalism, and records of activism spurred by the CPD torture cases documented between 1972 and 1991."
28,"Legalizing the ivory trade could more quickly make elephants extinct, a study published September 15 suggests. It finds that the demand for ivory is far greater than the amount of ivory that can be harvested sustainably. This contradicts an earlier proposition by ivory trade supporters that a sustainable trade that could meet demand would be possible."
29,"A top U.S. military official confirmed to a Senate committee late Thursday that the Islamic State used a rocket containing mustard gas against U. S. troops in Iraq. The news came as members of the Senate Armed Services Committee questioned Marine General Joseph Dunford about an attack Tuesday on a military base near Mosul, in the country’s north. The general was addressing leaked news reports that investigators had found a black oily substance on ..."
30,"A new study has found that 28.6 percent of all cancer deaths in the United States are attributable to cigarette smoking. Researchers calculated the number using the relative risks for 12 smoking-related cancers, including acute myeloid leukemia, mouth cancers and those of the esophagus, stomach and colon. Smoking is involved in 22.9 percent of cancer death in women and 33.7 percent in men. In all, the authors estimate that 167,133 people died of cancers associated with smoking cigarettes in 2014."
31,"The Sungai Putri, meaning River of the Princess, is an exquisite natural forest located in West Kalimantan, providence of Indonesia. It is about 141,000 acres of forest land, has extensive peat areas of up to 14.5 meters deep at some points, and can provide a home to about 750 to 1750 orangutan."
32,"Conversion therapy is not only promoted in the Republican party’s 2016 platform, but something Vice President-elect Mike Pence has actively supported while a member of congress."
33,"Wells Fargo fired 5,300 low-paid workers over five years for opening phony accounts to meet aggressive sales targets. Stumpf admitted to Rep. Keith Rothfus (R., Pa.) that his bank had found nearly 80,000 frank accounts in Pennsylvania. The bank says it didn't impose fees for most of these accounts."
34,"Abdulhalim fled the northern city of Kunduz this month after militants and security forces had been clashing for days. Now he’s 200 miles away in Kabul, sleeping in a tent and living on aid. He is part of a looming humanitarian crisis aid agencies here are struggling to contain. Before the current crisis, more than a million people had already been uprooted last year. This year, at least another million Afghans are “on the move” inside Afghanistan and across its borders."
35,"There is no food, so along the road through the mountains there are children begging for something to eat. Most of the trucks rumble past with donations for somewhere else. But one stopped here the other day with sacks of rice, beans and dried herring, setting off a stampede."
36,"Canadian actor Richard Hong was found dead in a Los Angeles home being rented by George Stroumboulopoulos, a Canadian TV and radio personality."
37,"Germany’s consulate in northern Afghanistan was attacked by a suicide car bomber, killing six people and wounding more than 120, Afghan police and the German foreign minister said Friday."
38,"Four Americans were killed in an apparent suicide bomb attack early Saturday at Bagram Airfield, the largest US base in Afghanistan, US Defense Secretary Ash Carter said. Two of those killed were service members, and two were contractors, he said, adding he was ""deeply saddened"" by the news. The explosion also wounded 16 other US service members and one Polish soldier participating in the NATO mission, Carter said in a statement. Taliban spokesman Zabihullah Mujahid said a suicide bomber had targeted ""a sports ground where more than 100 military officers, important people and soldiers were busy exercising."" The attack on the airfield had been planned for four months, the official said. NATO earlier said 14 people were injured in the blast, which happened shortly after 5:30 a.m. local time."
39,"A young male wolf who was in search of a mate and had travelled more than 700 miles, has been gunned down by a government sniper."
40,"Bonobos have a decidedly low-tech solution to farsightedness. Rather than donning glasses to bring objects that are near into sharper focus, aging bonobos just adjust their position, particularly when grooming their hairy pals."
41,"The man who the authorities say set off powerful bombs in Manhattan and on the Jersey Shore over the weekend planned the attacks for months, conducted a dry run just days before unleashing his assault and took inspiration from “Brother Osama bin Laden” and other international terrorists, according to a criminal complaint filed in federal court on Tuesday."
42,A backpacker has described the moment she lost contact with her rock climber boyfriend - who died during an attempt to scale Vietnam's tallest mountain.
43,"It's been about four years since Aimee Copeland lost her hands, a leg and a foot in a fight with flesh-eating bacteria, and she's bragging about beating friends in arm wrestling."
44,"A gunman murdered a Southwest Airlines employee, then killed himself at Oklahoma City's Will Rogers World Airport in what police described as a premeditated attack. Michael Winchester, 52, was shot while walking between a crowded terminal and the airport employee parking area. The unidentified suspect was later found dead in a pickup truck in public parking garage overlooking the scene."
45,"Fighter jets from a U.S.-backed Saudi-led coalition struck a security complex in the western Yemeni city of Hodeidah late Saturday night, killing at least 43 and injuring scores more, according to Yemeni officials and local news reports."
46,"Raymond Earl Brooks had adopted the victim's mother. To the young woman, Brooks was her adoptive grandfather. Brooks pleaded guilty to sexually abusing the woman and was sentenced to five years in prison, the Associated Press reported. But, according to the Alabama Department of Corrections, he only served 18 months of the sentence before being granted an early release in February 2005. The crime, and the rage it induced, festered in his mind."
47,Residents in war-ravaged eastern Aleppo received a dire warning early Sunday: Prepare for your city to be bombed and evacuate in the next 24 hours.
48,"Before the war convulsed his native Syria, Marea Marea relished retirement. He enjoyed leisurely morning walks, played with his grandchildren and took afternoon catnaps. Then the fighting began in rebel-held eastern Aleppo. Airstrikes have pulverized his neighborhood, and a brutal siege has forced him to skimp on food."
49,"A new University of Washington study, with funding and satellite data from NASA and other agencies, finds a trend toward earlier sea ice melt in the spring and later ice growth in the fall across all 19 polar bear populations."
50,"The most common adjective employed by weather reporters on Saturday 23 November 2013 was ‘treacherous’, but in reality there was not a hint of betrayal about it. The day was every bit as foul as one would expect the week before Thanksgiving."
51,Made-in-the-USA retailer American Apparel filed for Chapter 11 bankruptcy protection early Monday after its latest turnaround plan flopped. The move comes about a year after the fashion retailer filed for bankruptcy for a first time.
52,"Adam Crapser was born in South Korea, but when he was 3 years old, an American couple adopted him. Until recently, he lived in Vancouver, Wash., with his daughters and his pregnant wife. He has a son by an ex-girlfriend. He used to own a barbershop, but decided to become a stay-at-home dad."
53,"Americans eat a lot, also throw alot of food. That is the main point worth underlining in the new study published at Plos One, a peer-reviewed journal. Surprisingly, it is just one of the two large-scale papers about food waste. In 2010, the study says that about one-hundred and thirty-three billion pounds of edible food both at the retail and consumer levels went uneaten. That's about one thousand two-hunred and forty-nine calories per person per day. Two-thirds of which were attributed to consumers, meaning people in homes that waste the food that they purchase. In addition to the significant waste of resources, the paper says that this behavior of consumers has a substantial negative impact to the environment as about ninety-five percent of food waste enter the United States landfills."
54,"Donald Trump's crusade against immigrants and refugees is not only antithetical to the American ideal of inclusion, it's also based on a false notion."
55,"What if it turns out that America isn't as entrepreneurial as our leaders like to believe? And that the smaller U.S. safety net, which reflects a national belief in self-reliance, is to blame, at least in part."
56,"A mysterious disease has ravaged the US’s only rainforests – and just one of the plagues that are devastating American forests across the west. Friday, a forest ecologist at the University of Hawaii, started getting calls from concerned landowners in Puna, which is on the eastern tip of Hawaii’s big island, in 2010."
57,An animal-welfare organization reflects on its nerve-wracking rescue—and what it might mean for troubled zoos around the world.
58,"The country’s poor economy, triggered by a drop in the price of oil, has led people as well as zoo animals to go hungry."
59,Wells Fargo has agreed to pay more than $4 million in a settlement after federal investigators found the bank illegally repossessed 413 cars owned by American servicemembers over the last seven years.
60,"Ice levels at the North Pole have shrunk to their second lowest level ever, scientists say. Every year the arctic ice naturally shrinks in the spring and summer before regrowing during winter, however the drastic melt in 2016 has surprised scientists."
61,"Bike lanes were meant to be part of the solution, but no one seemed to know what to do with them. The designers and promoters of the bike lanes see them far differently: as an attempt to use transportation policy to right history’s wrongs and stitch together a divided city."
62,"Arnold Palmer, one of the greatest golfers of all time, died Sunday at 87 in Pittsburgh, according to the United States Golf Association. Alastair Johnson, CEO of Arnold Palmer Enterprises, told the Associated Press that Palmer died Sunday afternoon of complications from heart problems. Johnson said Palmer was admitted to the hospital Thursday for some cardiovascular work and weakened over the last few days."
63,— Article URL: Article author(s): Article date: News source: —  - - 
64,"A month ago, Hurricane Matthew ripped through Haiti. News from the assessment was slow to arrive. In terms of loss of human life, this disaster was thankfully far less deadly than the earthquake on January 12, 2010, almost seven years ago now. However, in terms of material damage - over 80 percent of houses destroyed, livestock, a season’s crops, not to mention trees dead - Hurricane Matthew is proving very devastating."
65,"As President-elect Donald J. Trump’s campaign, supporters and others have displayed the flag as a kind of rejoinder to anti-Trump protesters in places such as Durango, Colo."
66,Ten people were hurt when a fire tore through a small apartment complex in Payson. Fire Chief David Staub says the fourplex is a total loss after an explosion ignited the blaze Saturday evening. The fire was reported after sundown and fire crews arrived to find the building completely engulfed.
67,"At least 239 migrants are believed to have drowned this week in two shipwrecks off the coast of Libya, the United Nations refugee agency said Thursday. Survivor accounts suggest that two crowded boats broke up just off the Libyan coast Wednesday, said Carlotta Sami, spokeswoman for the U.N. High Commissioner for Refugees."
68,"An Australian woman has been kidnapped by unknown gunmen in Afghanistan's capital, Kabul, Afghan police said Sunday. The woman was seized in Kabul's Qala e Fatullah area area on Saturday evening as she was traveling by car with her driver. Police are investigating the abduction, said Mujahid. He said the woman, who is an Australian citizen of Pakistani origin, works for the Agency Coordinating Body for Afghan Relief."
69,"Azealia Banks tearfully shared her side of the Russell Crowe incident in a new interview on Thursday, October 27, calling the headline-making tussle “humiliating.” During a sit-down interview with Access Hollywood, the 25-year-old rapper looked visibly upset as she recounted the argument that led up to her getting kicked out of Crowe’s Beverly Hilton hotel room suite on Saturday, October 15. When asked by the interviewer what brought on the tears, Banks explained, “Because every time, every time something like this happens, I’m always being blamed for wanting this kind of attention. Like, who the f--k wants to tell somebody they got spat on?”"
70,"About 95 tonnes of oil have been leaked into the North Sea from a BP platform, the company has said. The leak is about two and a half times smaller than the biggest North Sea spill in recent years, at Shell’s Gannet platform off Aberdeen in 2011. The spill from the Clair platform is being monitored from the air by plane which, combined with modelling, shows the oil moving away from land in a northerly direction."
71,"Three anti-poaching rangers, two South Africans and a Mozambican, were hospitalized after being beaten by villagers after they apprehended a poacher. Sean van Niekerk, of Limpopo, was discharged from Nelspruit Medi-Clinic on Thursday, where he was treated for a minor skull fracture, stab wounds and injuries to his face and back"
72,"A bid to give the highest level of international legal protection to all African elephants was defeated on Monday at a global wildlife summit. But the Convention on the International Trade in Endangered Species (Cites), meeting this week in Johannesburg, passed other new measures for elephants that conservationists say will add vital protection."
73,Billy Bob Thornton is opening up about his three-year marriage to Angelina Jolie as the 41-year-old actress is in the midst of a divorce from Brad Pitt.
74,A 6-year-old boy in China was found dead days after he fell into a deserted well while helping his father harvest vegetables.
75,"A bus driver has died in Brisbane, Australia, after a passenger covered him in flammable liquid and set him on fire in what police called a ""senseless act"" with ""no apparent motive""."
76,"A new oil well project that is under way in the Murchison Falls National Park in Uganda could place a critical risk to one of the world’s most endangered species of giraffe, while the British Government supports this environmental harmful operation."
77,"A British banker was convicted of murder Tuesday for killing two Indonesian women in Hong Kong, torturing one of them over three days while using cocaine in a gruesome case that shocked the Chinese financial hub."
78,"Shelton McElroy and his two brothers grew up careening between one foster home to the next. Their mother had been sentenced to prison when Shelton was just 4 and his brothers were 6 and 8 years old. They were sent to two different foster homes in their hometown of Louisville, Kentucky. Shelton ran away from the foster-care system. He was homeless. Desperate and hungry, Shelton broke into the house of a friend who dealt weed and kept his stash at home. He planned to steal the drugs and sell them. But he lingered too long, eating sandwiches and drinking beer. The sergeant’s two biological sons jumped out from behind some bushes, catching the two boys with the contraband red-handed. Eventually Shelton, William and David were sent back to the maximum-security prison in Fort Knox, a military base outside the city. They had become strangers to each other"
79,"Cliven Bundy ran his herd illegally on and around the former Bunkerville grazing allotment in the hot desert near Las Vegas (more properly next to Mesquite, Nevada). It was public land at first, but then increasing numbers of his cattle became at least semi-feral and were found over a huge area near the Nevada, Utah, Arizona border."
80,"Burmese troops launched a wide-ranging manhunt last month in a troubled area of northern Rakhine state populated largely by Rohingya Muslims, leaving scorched homes and displaced residents in their wake. An estimated 15 members of the security forces — roughly 10 police and five soldiers — have died and more than 30 Muslim residents have been reported killed in the security crackdown."
81,"Bykofsky: WHEN SHAWN GILL got a call at his Warminster home from a doctor at Einstein Medical Center asking how he was feeling, he's puzzled."
82,"Approximately forty-one million people in the United States use CL, as noted by the NPR, and a new analysis posted by the CDC–or, the Centers for Disease Control and Prevention–on Friday reveals some of the most common mistakes that wearers do, resulting in common and serious eye infections."
83,"Laura Sweet had no idea that she had contracted a virus that would leave her daughter, Jane, deaf by her first birthday. During her second pregnancy, doctors had warned her against alcohol and changing kitty litter. They had said to avoid sushi and cold cuts. But nobody — not her obstetrician, nor her midwife — mentioned cytomegalovirus. Only after a frustrating search lasting months did doctors discover that the girl had been infected in utero. The infection and the emotional ordeal that followed, she thinks, could have been prevented — for the Sweet family and thousands of others every year."
84,"Levels of CO2 in the atmosphere have surged past an important threshold and may not dip below it for ""many generations"". The 400 parts per million benchmark was broken globally for the first time in recorded history in 2015. But according to the World Meteorological Organisation (WMO), 2016 will likely be the first full year to exceed the mark."
85,"The Monterrey Herald reported that Frank Navarro was asked to leave in the middle of the day after a parent sent an email to Mountain View High School expressing concerns over the comparison. The area’s Superintendent Jeff Harding confirmed the incident, but refused to detail the complaint. The complaint comes in the midst of the uproar over Trump’s Election Day victory over Hillary Clinton."
86,"In the wee hours of November 9, when the US presidential race approached its stunning end, John Draper and those he works with saw a different surprising result. The phone lines at the National Suicide Prevention Lifeline lit up in a way not seen before."
87,"The banana is the world's most popular fruit crop, with over 100 million metric tons produced annually in over 130 tropical and subtropical countries. Edible bananas are the result of a genetic accident in nature that created the seedless fruit we enjoy today."
88,A Pennsylvania court has sentenced a man to 18 months in jail for hacking into the accounts of celebrities and stealing nude photos and videos.
89,"James Rackover, 25, was charged with hindering prosecution, tampering with evidence, and concealing a corpse in the slaying of Joseph Comunale, 26. Prosecutors also hit Lawrence Dilione, 28, with the same charges. James was the son Jeffrey Rackover never had."
90,"City officials have shut down hundreds of public drinking fountains in Chicago after tests detected excessive levels of lead in the water — another example of how the potentially harmful metal remains a threat in homes, schools and other settings around the country."
91,"A woman has recalled the horror of being forced to have sex with both of her parents and being plied with alcohol from the age of 11. In a particularly heartbreaking episode of The Dr Phil Show, an incestuous child abuse survivor confronted her biological mother two decades on. Victim Amanda revealed her horrific experience, including her parents making her pose for explicit photographs and videotaping their sexual encounters with a view to sell them online. Mother Justine – who appeared remorseful for her actions – claimed that she hates herself for the crimes made against her daughter."
92,"Rescue crews found the boy's body Thursday in a narrow, abandoned well in the province of Hebei, bringing an end to an almost five-day search involving more than 500 responders."
93,"Iraqi forces are pressing into more densely populated areas and penetrating the epicenter of the group’s last remaining territory in the country. As they do, Iraqi commanders say Islamic State militants are putting up a tougher fight than they have ever seen."
94,"As fighting continued in and around Mosul on Friday, civilians caught in crossfire have a stark choice: whether to flee or stay huddled inside their homes."
95,"A new study says that human-induced climate change has doubled the area affected by forest fires in the U.S. West over the last 30 years. According to the study, since 1984 heightened temperatures and resulting aridity have caused fires to spread across an additional 16,000 square miles than they otherwise would have—an area larger than the states of Massachusetts and Connecticut combined. The authors warn that further warming will increase fire exponentially in coming decades."
96,"A report examining the many ways climate change threatens coffee and coffee farmers has alarmed people who are now imagining what it would be like getting through the day without their caffeine fix. The report, released this month by the Climate Institute, a nonprofit organization in Australia, was commissioned by Fairtrade Australia and New Zealand, the regional hub of the global Fairtrade system."
97,"The multimillion dollar dietary supplement business is being ‘attacked’ by a striking report from Consumer Reports, claiming that their panel of experts have identified fifteen supplement ingredients that can make anybody sick, or even kill them. The risks of using which include cancer, organ damage and cardiac arrest. They also underlined that the severity of such threats often depends on factors as pre-existing conditions, as well as the quantity of ingredients taken, and the length of time a consumer has been exposed to the substance."
98,"Day one of Donald Trump's America came with countless acts of hate that were carried out by his supporters against several of the country's most marginalized groups. Day two was no different, nor the days following. Since Election Day, there have been more than 200 acts of election-related intimidation and harassment across the U.S."
99,"Dakota Fanning's mom and dad are done after almost 27 years ... TMZ has learned. Dakota's dad, Steven Fanning, just filed for divorce from his wife, Heather, citing irreconcilable differences. Their kids are both of age, so child support isn't an issue..."
100,"The man accused of going on a stabbing spree at a Minnesota mall over the weekend was a young local named Dahir Ahmed Adan, officials said. The 20-year-old from St. Cloud allegedly stabbed 10 people before being shot dead by an off-duty police officer."
101,"As the Marrakesh Climate Talks begin in earnest this week, local and regional communities are keenly aware of what is at stake after record breaking temperatures this summer."
102,"Amysterious cluster of deadly bloodstream infections in Wisconsin has set state and federal disease detectives scrambling to understand why a common and generally harmless microbe is suddenly wreaking such havoc. The outbreak started last November and the case count continues to grow, with four new cases identified last week. Symptoms include fever, chills, and shortness of breath. State and federal investigators are testing tap water, skin care products, and other products patients may have ingested or come in contact with as a possible source of contamination"
103,"Mikhail Y. Lesin, 57, a former Russian advertising executive who helped create the Kremlin’s global English-language Russia Today television network, was found dead Nov. 5 in the upscale Dupont Circle Hotel, and for much of a year, the manner of death was ruled “undetermined.” The manner has been amended to an accident with “acute ethanol intoxication” as a contributing cause, the office of U.S. Attorney Channing D. Phillips said Friday."
104,"For the first time, more than 1,800 public primary schools in India’s capital will close on Saturday to protect children from exposure to dangerous levels of air pollution. The decision affects more than a million children."
105,"The number of deaths from measles has fallen by 79 percent worldwide since 2000, thanks mainly to mass vaccination campaigns, but more than 350 children still die from the disease every day, global health experts said on Thursday."
106,"A man dressed as a construction worker took a sledgehammer and pickax to Donald J. Trump’s star on the Hollywood Walk of Fame early Wednesday morning, smashing the sidewalk symbol and attempting to remove it, according to a witness and the police."
107,"Iraqi military and police forces say they have uncovered a mass grave near a small town south of the Islamic State-held city of Mosul. Initial reports say 100 bodies were found, many of them decapitated."
108,"A grieving father made his first public statement since an accident at the Dreamworld theme park in Queensland, Australia, killed three of his family members. Shayne Goodchild is the father of two of the victims of the accident, siblings Kate Goodchild and Luke Dorsett. Luke's partner, Roozbeh (""Roozi"") Araghi, also was killed."
109,"A wildfire burned through bone-dry brush and threatened hundreds of structures in California's Santa Cruz Mountains. Some evacuations were lifted Wednesday as firefighters, aided by cooler weather, held back the progress of the wildfire. For the last several days, temperatures have been in the high 90s and near 100 degrees, and were considered ""hazardous,"" by the National Weather Service."
110,"Rescuers brought more bodies ashore Thursday after a boat crowded with migrants capsized off the Egyptian coast, leaving at least 55 people dead and dozens missing. Survivors said up to 450 migrants had been aboard the fishing vessel when it sank on Wednesday about 12 kilometres (eight miles) from Egypt's Mediterranean port city of Rosetta."
111,The former elementary school volunteer accused of producing child pornography involving students as young as 9 has been indicted on two additional sex charges by a federal grand jury.
112,"Ten days ago, diesel fuel was leaked into Heiltsuk First Nation water near Bella Bella, British Colombia. The leak was caused by a tugboat which crashed in a remote region off British Columbia’s Central Coast. Following the oil leak, underwater dive images revealed endangered wildlife including abalone, amidst the fuel spill area."
113,"A fire tore through a refugee camp on the Aegean island of Lesbos, killing 50 homes and dozens of tents, driving 4,400 migrants into nearby fields, according to humanitarian aid workers."
114,"The Canadian government took indigenous Canadians from their families and placed them in church-run boarding schools, forcibly assimilating them to Western culture."
115,"Evan Bayh is the first to acknowledge things have really changed since his last competitive election. “I think it’s gotten a lot nastier than it used to be, that’s for sure,” the former Democratic senator said recently. “You know, back in the day, candidates at least made some effort to say what they’re for.”"
116,"The epidemic is seen as a pivotal moment in a dispute over the best way to fight cholera. On one side are public health advocates, backed by the powerful Bill and Melinda Gates Foundation, who have been galvanized in their enthusiasm for vaccines. Those vaccines, they believe, can be used to make major strides against a disease that is thousands of years old, easily treated, and entirely preventable."
117,"Scientists have known about the Zika virus for seven decades, but human infection has only been a serious public-health concern in recent years—especially amid outbreaks that have taught researchers more about emerging, mutated strains of the virus."
118,"On October 26, 35 people, including 22 children, were killed in attacks on a school complex in the rural town of al-Hass in a rebel-held area of Idilb province in northwestern Syria."
119,"Eye injuries in sports, especially youth sports, are worryingly common and often involve activities that most of us probably would not consider risky for eyes. The results suggest that anyone involved with youth sports should be vigilant about protecting young people’s eyes, perhaps in part by stocking up on wraparound glasses."
120,"Iran has blinded a man on Tuesday after convicting him of throwing chemicals in face of a four-year-old girl, a judicial official was quoted as saying. The little child was left completely unable to see by the brutal attack – leading the state to sentence the attacker to the literal eye-for-an-eye punishment."
121,"Anti-Muslim hate crimes in the U.S. have increased by 67 percent in one year, an FBI report has found. According to the bureau's Hate Crimes Statistics report, there were 257 incidents against Muslims in 2015."
122,"Data released by the FBI show that 2015 was one of the safest years for law enforcement officers in more than a decade. The preliminary numbers report that 37 US police officers were intentionally killed by suspects in the line of duty in 2015, a decrease of 20% from 2014 and the second-lowest total in the past 12 years."
123,"The families of 43 missing Mexican college students are leading a march of unions, students and other supporters through Mexico City to demand the young men be found on the second anniversary of their disappearance."
124,"My husband and I were in France as a family, to share with our girls a place that has been formative to them. Before we left for the trip this past summer, some friends and family were apprehensive. 'Aren't you worried about what could happen over there'"
125,"A fire displaced a family of five and killed two cats inside their Northwest Washington rowhouse, D.C. fire and emergency services officials said."
126,"Toughie, the world's last Rabbs' fringe-limbed tree frog and a symbol of the extinction crisis, has died at his home in the Atlanta Botanical Garden."
127,"Habitat degradation poses a greater risk to the survival of turtles and tortoises than rising global temperatures, according to new research. More than 60 per cent of the group are listed by the International Union for Conservation of Nature (IUCN) as vulnerable, endangered, or critically endangered, because they are being traded, collected for food and medicine and their habitats are being degraded."
128,"Moira Smith, vice president and general counsel at Enstar Natural Gas Co., told the National Law Journal that the justice grabbed her without her consent in 1999, when she met him at a Truman Foundation dinner."
129,"Chelsea Cain, the writer of Marvel’s recently canceled feminist comic series “Mockingbird,” deactivated her Twitter account midweek, after she said she received “thousands” of mean-spirited tweets celebrating the end of the series."
130,"Fetty Wap ruthlessly cut the lyrics written by a former Remy Boyz member for his mega hit ""679"" and cheated him out of major cash ... so claims Fetty's ex-homie. Rapper P-Dice claims he helped write the multi-platinum song, and Fetty cut a deal to give him 16.9% of the profits off the track, but in a lawsuit PD says he was scrubbed from the song to avoid the payout."
131,Authorities say a mother and two children have died following an early morning fire at their West Virginia home. Wheeling Fire Chief Larry Helms confirmed three deaths to local media outlets and department spokesman Philip Stahl later confirmed their relationships.
132,Fireworks were tossed into a crowd of mostly black University of Central Missouri students protesting President-elect Donald Trump and the racial climate on the Warrensburg campus. The Daily Journal Star reports that about 150 protesters were gathered Thursday night on the school’s commons when about a dozen white students for Trump gathered at the fringe of the crowd.
133,"Pinky, a female Chilean flamingo known for a distinctive style of walking that became known as the “Flamingo Flamenco,” was 19 years old, the Orlando Sentinel reports. Joseph Anthony Corrao was at the park with his family around 6:45 p.m. Tuesday when he allegedly reached into Pinky’s pen, grabbed her and threw her to the ground. The zoo had to euthanize her because of her injuries."
134,"One year after a dam ruptured and sent a giant wave of metal-laden mud gushing into one of Brazil’s most important rivers, people who live along the banks won’t drink the water and fishermen are afraid to eat their catch."
135,"A prolonged drought in the southeast U.S. is sparking dozens of wildfires in the forests of the southern Appalachian Mountains, threatening homes and taxing state and federal firefighters as they evacuate people."
